URN,LA,ESTAB,NOR,NORG,NORB,PNORG,PNORB,TSENELSE,PSENELSE,TSENELK,PSENELK,NUMEAL,NUMENGFL,NUMUNCFL,PNUMEAL,PNUMENGFL,PNUMUNCFL,PNUMFSM,NUMFSMEVER,PNUMFSMEVER
112456,815,6041,66,18,48,27.3,72.7,63,95.5,0,0,0,0,0,0,0,0,0,NP,NP
121293,815,2040,34,17,17,50,50,0,0,1,2.9,0,34,0,0,100,0,11.8,4,11.8
121294,815,2041,42,18,24,42.9,57.1,0,0,8,19,0,42,0,0,100,0,0,NP,NP
121295,815,2042,34,14,20,41.2,58.8,0,0,5,14.7,0,34,0,0,100,0,0,NP,NP
121296,815,2043,22,11,11,50,50,0,0,5,22.7,0,22,0,0,100,0,4.5,1,4.5
121300,815,2060,43,20,23,46.5,53.5,0,0,3,7,0,43,0,0,100,0,10.3,12,32.4
121301,815,2061,94,53,41,56.4,43.6,0,0,29,30.9,3,91,0,3.2,96.8,0,15.2,32,43.8
121302,815,2063,53,28,25,52.8,47.2,0,0,7,13.2,0,53,0,0,100,0,7.5,6,11.3
121303,815,2064,243,115,128,47.3,52.7,2,0.8,17,7,12,231,0,4.9,95.1,0,9.7,33,15.3
121305,815,2074,296,143,153,48.3,51.7,1,0.3,73,24.7,25,271,0,8.4,91.6,0,21.1,58,23.6
121306,815,2075,108,53,55,49.1,50.9,1,0.9,22,20.4,2,106,0,1.9,98.1,0,4.2,7,7.4
121307,815,2076,425,208,217,48.9,51.1,6,1.4,38,8.9,14,411,0,3.3,96.7,0,7.1,60,14.1
121308,815,2080,280,129,151,46.1,53.9,1,0.4,25,8.9,10,270,0,3.6,96.4,0,13.2,54,19.3
121309,815,2081,46,26,20,56.5,43.5,0,0,4,8.7,0,46,0,0,100,0,0,NP,NP
121310,815,2083,42,17,25,40.5,59.5,1,2.4,4,9.5,0,42,0,0,100,0,4.8,2,4.8
121311,815,2096,54,26,28,48.1,51.9,2,3.7,2,3.7,0,54,0,0,100,0,4.8,6,15
121312,815,2097,262,132,130,50.4,49.6,2,0.8,22,8.4,4,258,0,1.5,98.5,0,6.9,35,13.4
121313,815,2098,21,10,11,47.6,52.4,0,0,1,4.8,0,21,0,0,100,0,13.3,4,26.7
121314,815,2108,382,192,190,50.3,49.7,6,1.6,38,9.9,29,353,0,7.6,92.4,0,35.5,195,55.4
121316,815,2112,430,212,218,49.3,50.7,3,0.7,81,18.8,3,427,0,0.7,99.3,0,33,204,53.1
121317,815,2114,365,196,169,53.7,46.3,1,0.3,52,14.2,92,273,0,25.2,74.8,0,28.6,179,52.8
121319,815,2117,799,399,400,49.9,50.1,10,1.3,101,12.6,92,707,0,11.5,88.5,0,16.3,243,30.4
121321,815,2120,617,313,304,50.7,49.3,5,0.8,85,13.8,8,609,0,1.3,98.7,0,13.9,148,24
121322,815,2132,76,32,44,42.1,57.9,0,0,4,5.3,1,75,0,1.3,98.7,0,0,3,3.9
121323,815,2133,20,15,5,75,25,1,5,2,10,0,20,0,0,100,0,0,NP,NP
