LA,URN,LONDON/NON-LONDON,MEDIAN,PUPILS,FSM,FSMBAND,GRANTFUNDING,SELFGENERATEDINCOME,TOTALINCOME,TEACHINGSTAFF,SUPPLYTEACHERS,EDUCATIONSUPPORTSTAFF,PREMISES,BACKOFFICE,CATERING,OTHERSTAFF,ENERGY,LEARNINGRESOURCES,ICT,BOUGHTINPROFESSIONALSERVICES,OTHER,TOTALEXPENDITURE,T1314CAT1,T1314CAT2,T1314CAT3,T1314CAT4,T1314CAT5,T1314CAT1LA,T1314CAT2LA,T1314CAT3LA,T1314CAT4LA,T1314CAT5LA,T1415CAT1,T1415CAT2,T1415CAT3,T1415CAT4,T1415CAT5,T1415CAT1LA,T1415CAT2LA,T1415CAT3LA,T1415CAT4LA,T1415CAT5LA,T1516CAT1,T1516CAT2,T1516CAT3,T1516CAT4,T1516CAT5,T1516CAT1LA,T1516CAT2LA,T1516CAT3LA,T1516CAT4LA,T1516CAT5LA,T1617CAT1,T1617CAT2,T1617CAT3,T1617CAT4,T1617CAT5,T1617CAT1LA,T1617CAT2LA,T1617CAT3LA,T1617CAT4LA,T1617CAT5LA,T1718CAT1,T1718CAT2,T1718CAT3,T1718CAT4,T1718CAT5,T1718CAT1LA,T1718CAT2LA,T1718CAT3LA,T1718CAT4LA,T1718CAT5LA,DCAT1,DCAT2,DCAT3,DCAT4,DCAT5,PGRANTFUNDING,PSELFGENERATEDINCOME,PTEACHINGSTAFF,PSUPPLYTEACHERS,PEDUCATIONSUPPORTSTAFF,PPREMISES,PBACKOFFICE,PCATERING,POTHERSTAFF,PENERGY,PLEARNINGRESOURCES,PICT,PBOUGHTINPROFESSIONALSERVICES,POTHER,PT1314CAT1,PT1314CAT2,PT1314CAT3,PT1314CAT4,PT1314CAT5,PT1314CAT1LA,PT1314CAT2LA,PT1314CAT3LA,PT1314CAT4LA,PT1314CAT5LA,PT1415CAT1,PT1415CAT2,PT1415CAT3,PT1415CAT4,PT1415CAT5,PT1415CAT1LA,PT1415CAT2LA,PT1415CAT3LA,PT1415CAT4LA,PT1415CAT5LA,PT1516CAT1,PT1516CAT2,PT1516CAT3,PT1516CAT4,PT1516CAT5,PT1516CAT1LA,PT1516CAT2LA,PT1516CAT3LA,PT1516CAT4LA,PT1516CAT5LA,PT1617CAT1,PT1617CAT2,PT1617CAT3,PT1617CAT4,PT1617CAT5,PT1617CAT1LA,PT1617CAT2LA,PT1617CAT3LA,PT1617CAT4LA,PT1617CAT5LA,PT1718CAT1,PT1718CAT2,PT1718CAT3,PT1718CAT4,PT1718CAT5,PT1718CAT1LA,PT1718CAT2LA,PT1718CAT3LA,PT1718CAT4LA,PT1718CAT5LA,PDCAT1,PDCAT2,PDCAT3,PDCAT4,PDCAT5
815,121300,Non-London,Primary,41,9.3,Low,"7,579",174,"7,753","4,028",-239,"1,386",776,534,215,188,165,454,107,146,130,"7,891","3,976",51,504,221,"6,565","3,599",241,447,153,"6,323",SUPP,23,482,208,"7,008","3,005",183,317,70,"4,729","4,265",61,457,161,"6,806","3,471",181,455,90,"5,585","4,251",-64,446,139,"6,872","3,624",164,"7,233","1,160",139,"5,415",-239,534,165,"7,891","3,225",168,138,"1,386",165,"1,439",-290,30,-56,"1,326",98%,2%,51%,-3%,18%,10%,7%,3%,2%,2%,6%,1%,2%,2%,SUPP,1%,8%,3%,100%,NA,NA,NA,NA,NA,SUPP,0%,7%,3%,100%,NA,NA,NA,NA,NA,62%,1%,3%,6%,100%,NA,NA,NA,NA,NA,62%,-1%,6%,2%,100%,NA,NA,NA,NA,NA,69%,-3%,7%,2%,100%,NA,NA,NA,NA,NA,NA,-4%,-1%,-1%,0%
815,121302,Non-London,Primary,53,7.5,Low,"5,956",233,"6,189","3,241",236,601,483,570,245,158,87,258,37,15,169,"6,101","3,909",645,685,111,"6,738","3,018",164,355,80,"4,513",SUPP,667,867,220,"8,849","3,005",183,317,70,"4,729",SUPP,350,676,79,"6,992","3,020",170,374,69,"4,798",SUPP,169,725,176,"8,040","3,098",168,"7,861",736,176,SUPP,236,570,87,"6,101","3,225",168,497,601,87,SUPP,-409,-115,-24,-637,96%,4%,53%,4%,10%,8%,9%,4%,3%,1%,4%,1%,0%,3%,SUPP,10%,10%,2%,100%,NA,NA,NA,NA,NA,SUPP,8%,10%,2%,100%,NA,NA,NA,NA,NA,SUPP!,5%,3%,5%,100%,NA,NA,NA,NA,NA,SUPP,2%,9%,2%,100%,NA,NA,NA,NA,NA,SUPP,4%,9%,1%,100%,NA,NA,NA,NA,NA,SUPP,-6%,-1%,-1%,0%
815,121305,Non-London,Primary,274,17.9,Low,"4,901",90,"4,991","2,091",223,647,264,443,158,815,80,202,30,35,94,"5,082","2,457",283,230,76,"4,048","3,018",164,355,80,"4,513","2,634",143,330,68,"4,187","3,005",183,317,70,"4,729","2,861",38,369,75,"4,332","3,020",170,374,69,"4,798","2,754",43,398,65,"4,794","3,098",168,"4,581",579,65,"2,737",223,443,80,"5,082","3,225",168,93,647,80,280,-60,213,4,"1,034",98%,2%,41%,4%,13%,5%,9%,3%,16%,2%,4%,1%,1%,2%,61%,7%,6%,2%,100%,NA,NA,NA,NA,NA,63%,3%,8%,2%,100%,NA,NA,NA,NA,NA,66%,1%,3%,5%,100%,NA,NA,NA,NA,NA,57%,1%,8%,1%,100%,NA,NA,NA,NA,NA,54%,4%,9%,2%,100%,NA,NA,NA,NA,NA,-7%,-3%,3%,0%,0%
815,121306,Non-London,Primary,120,5,Low,"5,532",66,"5,598","2,825",254,860,474,350,228,174,98,284,69,28,62,"5,705","2,971",316,330,110,"4,750","3,018",164,355,80,"4,513","2,641",258,298,75,"4,215","3,005",183,317,70,"4,729","2,475",234,289,47,"3,966","3,020",170,374,69,"4,798","2,721",196,280,56,"4,158","3,098",168,"4,440",622,56,"3,685",254,350,98,"5,705","3,225",168,108,860,98,714,-62,20,-12,955,99%,1%,50%,4%,15%,8%,6%,4%,3%,2%,5%,1%,0%,1%,SUPP,7%,7%,2%,100%,NA,NA,NA,NA,NA,63%,6%,7%,2%,100%,NA,NA,NA,NA,NA,63%,6%,3%,5%,100%,NA,NA,NA,NA,NA,65%,5%,7%,1%,100%,NA,NA,NA,NA,NA,65%,4%,6%,2%,100%,NA,NA,NA,NA,NA,NA,-3%,-1%,0%,0%
815,121307,Non-London,Primary,425,7.1,Low,"4,143",69,"4,212","2,019",127,811,279,235,169,124,58,174,44,19,103,"4,165","2,446",129,190,62,"3,518","3,018",164,355,80,"4,513","2,620",158,215,67,"3,933","3,005",183,317,70,"4,729","2,739",136,202,61,"4,055","3,020",170,374,69,"4,798","2,755",137,222,59,"4,128","3,098",168,"4,091",739,59,"2,830",127,235,58,"4,165","3,225",168,58,811,58,384,-2,45,-4,647,98%,2%,48%,3%,19%,7%,6%,4%,3%,1%,4%,1%,0%,2%,70%,4%,5%,2%,100%,NA,NA,NA,NA,NA,67%,4%,5%,2%,100%,NA,NA,NA,NA,NA,67%,3%,4%,5%,100%,NA,NA,NA,NA,NA,67%,3%,5%,1%,100%,NA,NA,NA,NA,NA,68%,3%,6%,1%,100%,NA,NA,NA,NA,NA,-2%,-1%,1%,-1%,0%
815,121308,Non-London,Primary,280,13.2,Low,"4,070",96,"4,166","2,154",149,558,268,253,178,143,55,265,69,51,83,"4,227","2,370",173,207,48,"3,491","3,018",164,355,80,"4,513",SUPP,304,230,42,"3,902","3,005",183,317,70,"4,729","2,350",342,239,36,"3,867","3,020",170,374,69,"4,798","2,659",172,256,42,"4,123","3,098",168,"4,209",530,42,"2,712",149,253,55,"4,227","3,225",168,142,558,55,342,-24,46,7,736,98%,2%,51%,4%,13%,6%,6%,4%,3%,1%,6%,2%,1%,2%,SUPP,5%,6%,1%,100%,NA,NA,NA,NA,NA,SUPP,8%,6%,1%,100%,NA,NA,NA,NA,NA,61%,9%,4%,5%,100%,NA,NA,NA,NA,NA,64%,4%,6%,1%,100%,NA,NA,NA,NA,NA,64%,4%,6%,1%,100%,NA,NA,NA,NA,NA,NA,-1%,0%,0%,0%
815,121309,Non-London,Primary,46,0,Low,"5,501",385,"5,886","2,932",-27,"1,030",364,502,249,207,100,379,116,54,107,"6,013","3,228",171,443,103,"5,041","3,018",164,355,80,"4,513","3,558",217,550,90,"6,052","3,005",183,317,70,"4,729","3,474",366,547,79,"6,343","3,020",170,374,69,"4,798","4,135",160,595,102,"6,775","3,098",168,"6,671",917,102,"3,962",-27,502,100,"6,013","3,225",168,599,"1,030",100,734,-198,59,-3,972,93%,7%,49%,0%,17%,6%,8%,4%,3%,2%,6%,2%,1%,2%,SUPP,3%,9%,2%,100%,NA,NA,NA,NA,NA,59%,4%,9%,1%,100%,NA,NA,NA,NA,NA,55%,6%,4%,8%,100%,NA,NA,NA,NA,NA,61%,2%,9%,2%,100%,NA,NA,NA,NA,NA,66%,0%,8%,2%,100%,NA,NA,NA,NA,NA,NA,-3%,-1%,0%,0%
815,121310,Non-London,Primary,42,4.8,Low,"6,375",109,"6,484","2,915",686,602,400,863,273,153,85,275,104,11,93,"6,459","3,806",206,815,101,"6,046","3,018",164,355,80,"4,513","4,115",158,651,90,"6,291","3,005",183,317,70,"4,729","3,891",123,669,102,"6,135","3,020",170,374,69,"4,798",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3,516",686,863,85,"6,459","3,225",168,NA,602,85,-290,480,48,-16,413,98%,2%,45%,11%,9%,6%,13%,4%,2%,1%,4%,2%,0%,1%,SUPP,3%,13%,2%,100%,NA,NA,NA,NA,NA,65%,3%,10%,1%,100%,NA,NA,NA,NA,NA,63%,2%,3%,5%,100%,NA,NA,NA,NA,NA,NA,NA,NA,NA,100%,NA,NA,NA,NA,NA,54%,11%,13%,1%,100%,NA,NA,NA,NA,NA,NA,8%,0%,-1%,0%
815,121311,Non-London,Primary,65,3.1,Low,"8,336",146,"8,482","3,360",252,"1,179",684,"1,379",256,166,178,277,168,287,143,"8,329","4,778",309,"1,565",256,"9,230","3,018",164,355,80,"4,513","4,189",196,"1,406",198,"8,192","3,005",183,317,70,"4,729","4,318",151,"1,500",161,"8,249","3,020",170,374,69,"4,798","4,546",120,"1,504",187,"8,265","3,098",168,"8,200","1,094",187,"4,539",252,"1,379",178,"8,329","3,225",168,167,"1,179",178,-239,-57,-186,-78,-901,98%,2%,40%,3%,14%,8%,17%,3%,2%,2%,3%,2%,3%,2%,SUPP,3%,17%,3%,100%,NA,NA,NA,NA,NA,51%,2%,17%,2%,100%,NA,NA,NA,NA,NA,52%,2%,3%,5%,100%,NA,NA,NA,NA,NA,55%,1%,18%,2%,100%,NA,NA,NA,NA,NA,54%,3%,17%,2%,100%,NA,NA,NA,NA,NA,NA,0%,0%,-1%,0%
815,121314,Non-London,Primary,372,36.9,High,"6,503",85,"6,588","2,900",295,"1,546",358,524,226,908,49,192,17,44,103,"7,162","3,618",196,305,61,"5,262","3,652",194,418,109,"5,408","3,812",368,323,72,"5,748","3,567",264,324,72,"5,378","3,993",232,335,23,"5,787","3,900",247,364,63,"5,886","3,872",196,362,91,"6,284","3,845",192,"6,162","1,298",91,"4,446",295,524,49,"7,162","4,446",295,63,"1,546",49,828,99,219,-12,"1,900",99%,1%,40%,4%,22%,5%,7%,3%,13%,1%,3%,0%,1%,1%,SUPP,4%,6%,1%,100%,NA,NA,NA,NA,NA,66%,6%,6%,1%,100%,NA,NA,NA,NA,NA,69%,4%,4%,3%,100%,NA,NA,NA,NA,NA,62%,3%,6%,1%,100%,NA,NA,NA,NA,NA,62%,4%,7%,1%,100%,NA,NA,NA,NA,NA,NA,0%,1%,0%,0%
