URN,LA,ESTAB,SCHOOLTYPE,NOR,NORG,NORB,PNORG,PNORB,TSENELSE,PSENELSE,TSENELK,PSENELK,NUMEAL,NUMENGFL,NUMUNCFL,PNUMEAL,PNUMENGFL,PNUMUNCFL,NUMFSM,NUMFSMEVER,PNUMFSMEVER
112456,815,6041,Independent school,69,21,48,30.4,69.6,68,98.6,1,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA
121267,815,1001,State-funded nursery,78,31,47,39.7,60.3,1,1.3,6,7.7,13,65,0,16.7,83.3,0,0,NA,NA
121268,815,1002,State-funded nursery,63,29,34,46,54,2,3.2,5,7.9,7,56,0,11.1,88.9,0,7,NA,NA
121269,815,1003,State-funded nursery,88,40,48,45.5,54.5,0,0,3,3.4,3,85,0,3.4,96.6,0,0,NA,NA
121293,815,2040,State-funded primary,41,17,24,41.5,58.5,0,0,4,9.8,0,41,0,0,100,0,6,6,14.6
121296,815,2043,State-funded primary,21,11,10,52.4,47.6,0,0,3,14.3,0,21,0,0,100,0,0,0,0
121300,815,2060,State-funded primary,50,24,26,48,52,1,2,1,2,0,50,0,0,100,0,4,14,35.9
121301,815,2061,State-funded primary,99,48,51,48.5,51.5,0,0,19,19.2,3,96,0,3,97,0,12,27,32.1
121302,815,2063,State-funded primary,51,24,27,47.1,52.9,1,2,8,15.7,0,51,0,0,100,0,2,2,3.9
121303,815,2064,State-funded primary,233,113,120,48.5,51.5,3,1.3,25,10.7,15,218,0,6.4,93.6,0,32,41,20.1
121305,815,2074,State-funded primary,276,139,137,50.4,49.6,4,1.4,31,11.2,18,258,0,6.5,93.5,0,45,57,24.5
121306,815,2075,State-funded primary,114,57,57,50,50,1,0.9,12,10.5,2,112,0,1.8,98.2,0,5,6,6.2
121308,815,2080,State-funded primary,275,128,147,46.5,53.5,1,0.4,25,9.1,9,266,0,3.3,96.7,0,42,59,21.5
121309,815,2081,State-funded primary,40,20,20,50,50,0,0,5,12.5,0,40,0,0,100,0,0,0,0
121310,815,2083,State-funded primary,42,17,25,40.5,59.5,1,2.4,5,11.9,0,42,0,0,100,0,2,2,4.8
121311,815,2096,State-funded primary,53,26,27,49.1,50.9,2,3.8,1,1.9,0,53,0,0,100,0,4,7,15.2
121312,815,2097,State-funded primary,269,140,129,52,48,1,0.4,31,11.5,8,261,0,3,97,0,29,40,14.9
121313,815,2098,State-funded primary,19,8,11,42.1,57.9,0,0,1,5.3,0,19,0,0,100,0,0,2,12.5
121314,815,2108,State-funded primary,352,178,174,50.6,49.4,2,0.6,26,7.4,29,323,0,8.2,91.8,0,136,164,51.7
121317,815,2114,State-funded primary,371,201,170,54.2,45.8,2,0.5,51,13.7,102,269,0,27.5,72.5,0,131,168,48
121319,815,2117,State-funded primary,777,371,406,47.7,52.3,9,1.2,116,14.9,103,674,0,13.3,86.7,0,163,250,32.2
121321,815,2120,State-funded primary,632,321,311,50.8,49.2,5,0.8,94,14.9,15,617,0,2.4,97.6,0,105,157,24.8
121322,815,2132,State-funded primary,91,36,55,39.6,60.4,0,0,5,5.5,1,90,0,1.1,98.9,0,3,4,4.4
121323,815,2133,State-funded primary,25,19,6,76,24,1,4,2,8,0,25,0,0,100,0,0,0,0
121324,815,2138,State-funded primary,26,9,17,34.6,65.4,0,0,9,34.6,0,26,0,0,100,0,5,5,19.2
121326,815,2150,State-funded primary,67,35,32,52.2,47.8,1,1.5,5,7.5,0,67,0,0,100,0,0,1,1.5
121327,815,2151,State-funded primary,88,31,57,35.2,64.8,1,1.1,7,8,3,85,0,3.4,96.6,0,5,5,5.7
121330,815,2163,State-funded primary,152,59,93,38.8,61.2,2,1.3,37,24.3,18,134,0,11.8,88.2,0,63,70,46.1
121331,815,2164,State-funded primary,245,108,137,44.1,55.9,5,2,21,8.6,8,237,0,3.3,96.7,0,24,33,13.5
121332,815,2165,State-funded primary,123,66,57,53.7,46.3,8,6.5,24,19.5,41,82,0,33.3,66.7,0,0,12,10.9
121333,815,2166,State-funded primary,212,95,117,44.8,55.2,7,3.3,39,18.4,3,209,0,1.4,98.6,0,0,8,3.8
121334,815,2167,State-funded primary,239,105,134,43.9,56.1,0,0,59,24.7,23,216,0,9.6,90.4,0,82,93,45.8
121336,815,2170,State-funded primary,197,103,94,52.3,47.7,0,0,89,45.2,4,193,0,2,98,0,39,62,34.8
121337,815,2171,State-funded primary,103,42,61,40.8,59.2,3,2.9,23,22.3,1,102,0,1,99,0,3,7,7.4
121338,815,2173,State-funded primary,465,215,250,46.2,53.8,7,1.5,85,18.3,72,393,0,15.5,84.5,0,28,56,13.5
121342,815,2186,State-funded primary,99,42,57,42.4,57.6,2,2,9,9.1,1,98,0,1,99,0,6,9,9.1
121343,815,2188,State-funded primary,202,102,100,50.5,49.5,7,3.5,38,18.8,22,180,0,10.9,89.1,0,12,50,24.8
121344,815,2189,State-funded primary,236,112,124,47.5,52.5,5,2.1,27,11.4,27,209,0,11.4,88.6,0,1,7,3.6
121349,815,2206,State-funded primary,207,102,105,49.3,50.7,1,0.5,30,14.5,14,193,0,6.8,93.2,0,31,53,25.6
121350,815,2212,State-funded primary,243,126,117,51.9,48.1,4,1.6,30,12.3,22,221,0,9.1,90.9,0,12,22,10.4
121355,815,2221,State-funded primary,58,22,36,37.9,62.1,1,1.7,7,12.1,0,58,0,0,100,0,5,7,12.1
121356,815,2222,State-funded primary,262,134,128,51.1,48.9,5,1.9,46,17.6,3,259,0,1.1,98.9,0,29,54,20.6
121357,815,2223,State-funded primary,415,208,207,50.1,49.9,6,1.4,33,8,7,408,0,1.7,98.3,0,18,42,10.1
121358,815,2224,State-funded primary,198,93,105,47,53,1,0.5,39,19.7,0,198,0,0,100,0,23,30,15.2
121359,815,2225,State-funded primary,223,103,120,46.2,53.8,8,3.6,51,22.9,9,214,0,4,96,0,31,38,17
121361,815,2228,State-funded primary,212,108,104,50.9,49.1,2,0.9,30,14.2,10,202,0,4.7,95.3,0,5,8,3.8
121362,815,2233,State-funded primary,224,102,122,45.5,54.5,0,0,19,8.5,3,221,0,1.3,98.7,0,10,20,8.9
121363,815,2235,State-funded primary,218,109,109,50,50,2,0.9,16,7.3,2,216,0,0.9,99.1,0,18,23,13.4
121364,815,2236,State-funded primary,130,53,77,40.8,59.2,0,0,13,10,9,121,0,6.9,93.1,0,8,12,11.2
121365,815,2237,State-funded primary,262,134,128,51.1,48.9,4,1.5,37,14.1,22,240,0,8.4,91.6,0,43,64,27.4
121368,815,2242,State-funded primary,230,111,119,48.3,51.7,2,0.9,55,23.9,17,213,0,7.4,92.6,0,86,90,43.7
121369,815,2245,State-funded primary,153,79,74,51.6,48.4,2,1.3,6,3.9,0,153,0,0,100,0,8,9,5.9
121370,815,2246,State-funded primary,175,80,95,45.7,54.3,2,1.1,23,13.1,0,175,0,0,100,0,10,13,7.4
121371,815,2247,State-funded primary,80,45,35,56.3,43.8,1,1.3,8,10,0,80,0,0,100,0,4,6,7.5
121372,815,2249,State-funded primary,221,100,121,45.2,54.8,2,0.9,34,15.4,4,217,0,1.8,98.2,0,44,55,28.4
121373,815,2250,State-funded primary,60,37,23,61.7,38.3,0,0,7,11.7,0,60,0,0,100,0,6,8,13.3
121377,815,2257,State-funded primary,233,105,128,45.1,54.9,2,0.9,12,5.2,1,232,0,0.4,99.6,0,11,21,10.3
121380,815,2305,State-funded primary,132,59,73,44.7,55.3,7,5.3,16,12.1,2,130,0,1.5,98.5,0,26,29,25.2
121382,815,2309,State-funded primary,167,83,84,49.7,50.3,2,1.2,20,12,16,151,0,9.6,90.4,0,22,31,21.2
121383,815,2310,State-funded primary,136,73,63,53.7,46.3,0,0,8,5.9,2,134,0,1.5,98.5,0,13,17,12.5
121385,815,2312,State-funded primary,48,27,21,56.3,43.8,0,0,13,27.1,0,48,0,0,100,0,8,10,20.8
121386,815,2314,State-funded primary,155,83,72,53.5,46.5,2,1.3,24,15.5,3,152,0,1.9,98.1,0,26,35,22.6
121387,815,2316,State-funded primary,143,65,78,45.5,54.5,1,0.7,6,4.2,0,143,0,0,100,0,6,7,4.9
121388,815,2317,State-funded primary,139,75,64,54,46,1,0.7,18,12.9,3,136,0,2.2,97.8,0,11,21,15.1
121390,815,2320,State-funded primary,64,36,28,56.3,43.8,0,0,2,3.1,0,64,0,0,100,0,4,10,15.6
121391,815,2321,State-funded primary,86,49,37,57,43,3,3.5,1,1.2,0,86,0,0,100,0,3,4,7.4
121392,815,2324,State-funded primary,70,29,41,41.4,58.6,1,1.4,8,11.4,0,70,0,0,100,0,8,12,17.1
121393,815,2327,State-funded primary,66,27,39,40.9,59.1,3,4.5,7,10.6,2,64,0,3,97,0,1,3,5.6
121395,815,2329,State-funded primary,330,170,160,51.5,48.5,14,4.2,37,11.2,113,217,0,34.2,65.8,0,48,57,19.3
121398,815,2332,State-funded primary,210,110,100,52.4,47.6,7,3.3,28,13.3,20,190,0,9.5,90.5,0,35,44,23.3
121401,815,2335,State-funded primary,54,25,29,46.3,53.7,0,0,6,11.1,1,53,0,1.9,98.1,0,5,6,11.1
121402,815,2336,State-funded primary,58,27,31,46.6,53.4,1,1.7,5,8.6,1,57,0,1.7,98.3,0,7,10,17.2
121403,815,2337,State-funded primary,133,69,64,51.9,48.1,0,0,12,9,1,132,0,0.8,99.2,0,7,15,11.3
121404,815,2338,State-funded primary,69,34,35,49.3,50.7,1,1.4,10,14.5,2,67,0,2.9,97.1,0,14,15,21.7
121406,815,2343,State-funded primary,30,16,14,53.3,46.7,2,6.7,4,13.3,2,28,0,6.7,93.3,0,0,0,0
121410,815,2347,State-funded primary,49,25,24,51,49,1,2,4,8.2,1,48,0,2,98,0,0,4,8.2
121411,815,2348,State-funded primary,83,43,40,51.8,48.2,1,1.2,4,4.8,1,82,0,1.2,98.8,0,9,11,13.3
121413,815,2350,State-funded primary,88,43,45,48.9,51.1,1,1.1,5,5.7,0,88,0,0,100,0,12,15,17
121415,815,2354,State-funded primary,62,36,26,58.1,41.9,1,1.6,5,8.1,1,61,0,1.6,98.4,0,2,2,3.2
121417,815,2356,State-funded primary,220,101,119,45.9,54.1,2,0.9,14,6.4,11,209,0,5,95,0,0,1,0.5
121419,815,2358,State-funded primary,66,33,33,50,50,2,3,7,10.6,2,64,0,3,97,0,2,4,6.5
121420,815,2359,State-funded primary,216,97,119,44.9,55.1,4,1.9,25,11.6,1,215,0,0.5,99.5,0,8,14,6.5
121421,815,2360,State-funded primary,80,41,39,51.3,48.8,0,0,9,11.3,0,80,0,0,100,0,6,7,8.8
121423,815,2363,State-funded primary,230,113,117,49.1,50.9,5,2.2,17,7.4,8,222,0,3.5,96.5,0,28,51,22.2
121424,815,2364,State-funded primary,586,296,290,50.5,49.5,17,2.9,82,14,53,533,0,9,91,0,121,128,24
121425,815,2365,State-funded primary,248,132,116,53.2,46.8,4,1.6,20,8.1,18,230,0,7.3,92.7,0,46,56,26.3
121426,815,2366,State-funded primary,89,40,49,44.9,55.1,5,5.6,15,16.9,12,77,0,13.5,86.5,0,19,19,26.8
121427,815,2367,State-funded primary,107,42,65,39.3,60.7,2,1.9,22,20.6,10,97,0,9.3,90.7,0,13,19,17.8
121436,815,2381,State-funded primary,269,130,139,48.3,51.7,6,2.2,29,10.8,8,261,0,3,97,0,23,31,11.5
121444,815,2390,State-funded primary,262,119,143,45.4,54.6,2,0.8,25,9.5,40,222,0,15.3,84.7,0,82,98,42.1
121445,815,2391,State-funded primary,194,101,93,52.1,47.9,2,1,20,10.3,2,192,0,1,99,0,6,11,6.7
121447,815,2393,State-funded primary,409,219,190,53.5,46.5,6,1.5,12,2.9,7,402,0,1.7,98.3,0,41,53,14.8
121448,815,2400,State-funded primary,182,82,100,45.1,54.9,5,2.7,22,12.1,31,151,0,17,83,0,40,48,29.1
121449,815,2401,State-funded primary,372,180,192,48.4,51.6,8,2.2,43,11.6,10,362,0,2.7,97.3,0,22,37,11.2
121450,815,2402,State-funded primary,159,74,85,46.5,53.5,3,1.9,25,15.7,1,158,0,0.6,99.4,0,6,16,10.1
121451,815,2403,State-funded primary,261,138,123,52.9,47.1,7,2.7,45,17.2,4,257,0,1.5,98.5,0,32,56,26.7
121452,815,2404,State-funded primary,92,49,43,53.3,46.7,0,0,10,10.9,0,92,0,0,100,0,4,5,5.4
121453,815,2405,State-funded primary,48,27,21,56.3,43.8,1,2.1,4,8.3,1,47,0,2.1,97.9,0,2,4,9.1
121454,815,2406,State-funded primary,35,17,18,48.6,51.4,1,2.9,4,11.4,0,35,0,0,100,0,10,12,37.5
121455,815,2407,State-funded primary,130,66,64,50.8,49.2,4,3.1,11,8.5,0,130,0,0,100,0,5,8,6.2
121456,815,2408,State-funded primary,623,306,317,49.1,50.9,6,1,139,22.3,53,570,0,8.5,91.5,0,102,127,22
121457,815,2410,State-funded primary,193,88,105,45.6,54.4,4,2.1,19,9.8,3,190,0,1.6,98.4,0,12,21,10.9
