RECTYPE,LEA,ESTAB,URN,SCHNAME,ICLOSE,NFTYPE,TPUP,ATT8SCR,P8PUP,TP8ADJ,P8MEA,P8CILOW,P8CIUPP,P8MEA_ORIG,P8CILOW_ORIG,P8CIUPP_ORIG,PTL2BASICS_94,PTL2BASICS_95,EBACCAPS,PTEBACC_E_PTQ_EE,PTEBACC_94,PTEBACC_95,PT5EM_94,P8_BANDING
1,815,6006,121735,Ampleforth College,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,815,6028,121758,Ashville College,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,815,4232,144929,Barlby High School,0,ACC,119,44.5,116,1,0.14,-0.09,0.38,0.14,-0.1,0.38,54.6%,37.0%,3.82,43.7%,23.5%,11.8%,52.9%,3
1,815,4052,121670,Bedale High School,0,CY,125,47,123,1,0.14,-0.09,0.36,0.12,-0.11,0.35,66.4%,40.8%,4.21,31.2%,22.4%,18.4%,63.2%,3
1,815,4221,121699,Boroughbridge High School,0,CY,110,48.7,106,0,0.27,0.03,0.52,0.27,0.02,0.52,67.3%,43.6%,4.24,29.1%,22.7%,18.2%,66.4%,2
1,815,4003,143138,Brayton Academy,0,AC,74,46.9,68,0,0.52,0.22,0.83,0.52,0.21,0.83,66.2%,43.2%,4.05,29.7%,13.5%,4.1%,59.5%,1
2,815,7002,121765,Breckenbrough School,0,NMSS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,815,7000,121764,Brompton Hall School,0,CYS,8,14.1,6,0,-1.79,-2.81,-0.76,-1.79,-2.83,-0.74,12.5%,0.0%,0.4,0.0%,0.0%,0.0%,12.5%,5
2,815,7027,121778,Brooklands School,0,CYS,5,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
1,815,4039,121667,Caedmon College Whitby,0,CY,133,44.9,131,2,0.05,-0.17,0.27,0.03,-0.2,0.25,61.7%,38.3%,3.88,48.1%,18.0%,12.8%,57.1%,3
2,815,6036,134660,Cambian Scarborough School,0,INDSPEC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
