URN,LA,ESTAB,LAESTAB,SCHNAME,OTHERSCHNAME,STREET,LOCALITY,ADDRESS3,TOWN,POSTCODE,TELNUM,ICLOSE,OPENDATE,CLOSEDATE,ISNEW,MINORGROUP,NFTYPE,OTHERNFTYPE,ISPRIMARY,ISSECONDARY,ISPOST16,AGEL,AGEH,GENDER,SIXFGENDER,RELDENOM,ADMPOL,OTHERURN,NEWACFLAG,RE-BROKERED
112456,815,6041,8156041,Cedar House School,,Low Bentham,,,Via Lancaster,LA2 7DD,01524261149,1,,,0,Special School,Other independent special school,,1,1,1,7,18,Mixed,Mixed,None,Not recorded,,6,0
121293,815,2040,8152040,Leeming and Londonderry Community Primary School,,Roman Road,Leeming,,Northallerton,DL7 9SG,01677422160,1,,,0,Maintained School,Community school,,1,0,0,4,11,Mixed,Mixed,Does not apply,Not recorded,,6,0
121296,815,2043,8152043,Goathland Primary School,,Beckhole Road,Goathland,,Whitby,YO22 5ND,01947896230,1,,,0,Maintained School,Community school,,1,0,0,4,11,Mixed,Mixed,Does not apply,Not recorded,,6,0
121300,815,2060,8152060,Oakridge Community Primary School,,Coronation Avenue,Hinderwell,,Saltburn-by-the-Sea,TS13 5HA,01947840255,1,,,0,Maintained School,Community school,,1,0,0,3,11,Mixed,Mixed,Does not apply,Not recorded,,6,0
121301,815,2061,8152061,"Staithes, Seton Community Primary School",,Seaton Close,Staithes,,Saltburn-by-the-Sea,TS13 5AU,01947840257,1,,,0,Maintained School,Community school,,1,0,0,3,11,Mixed,Mixed,Does not apply,Not recorded,,6,0
121302,815,2063,8152063,Hunton and Arrathorne Community Primary School,,Hunton,,Hunton & Arrathorne Cp School,Bedale,DL8 1QB,01677450342,1,,,0,Maintained School,Community school,,1,0,0,4,11,Mixed,Mixed,Does not apply,Not recorded,,6,0
121303,815,2064,8152064,Kirkbymoorside Community Primary School,,Westfields,Kirkbymoorside,,York,YO62 6AG,01751431517,1,,,0,Maintained School,Community school,,1,0,0,3,11,Mixed,Mixed,Does not apply,Not recorded,,6,0
121305,815,2074,8152074,Malton Community Primary School,,Highfield Road,,Malton Cp School,Malton,YO17 7DB,01653692582,1,,,0,Maintained School,Community school,,1,0,0,2,11,Mixed,Mixed,Does not apply,Not recorded,,6,0
121306,815,2075,8152075,Nawton Community Primary School,,School Lane,Nawton,,York,YO62 7SF,01439771245,1,,,0,Maintained School,Community school,,1,0,0,3,11,Mixed,Mixed,Does not apply,Not recorded,,6,0
121308,815,2080,8152080,Applegarth Primary School,,Upwell Road,,,Northallerton,DL7 8QF,01609773521,1,,,0,Maintained School,Community school,,1,0,0,4,11,Mixed,Mixed,Does not apply,Not recorded,,6,0
121309,815,2081,8152081,North and South Cowton Community Primary School,,Main Road,"Main Road, North Cowton",,,DL7 0HF,01325378240,1,,,0,Maintained School,Community school,,1,0,0,4,11,Mixed,Mixed,Does not apply,Not recorded,,6,0
121310,815,2083,8152083,Osmotherley Primary School,,School Lane,Osmotherley,,Northallerton,DL6 3BW,01609883329,1,,,0,Maintained School,Community school,,1,0,0,4,11,Mixed,Mixed,Does not apply,Not recorded,,6,0
121311,815,2096,8152096,Reeth Community Primary School,,Healaugh Road,Reeth,,Richmond,DL11 6SP,01748884308,1,,,0,Maintained School,Community school,,1,0,0,3,11,Mixed,Mixed,Does not apply,Not recorded,,6,0
121312,815,2097,8152097,Romanby Primary School,,The Close,Romanby,,Northallerton,DL7 8BL,01609781178,1,,,0,Maintained School,Community school,,1,0,0,4,11,Mixed,Mixed,Does not apply,Not recorded,,6,0
121313,815,2098,8152098,Rosedale Abbey Community Primary School,,Rosedale Abbey,,,Pickering,YO18 8SA,01751417278,1,,,0,Maintained School,Community school,,1,0,0,3,11,Mixed,Mixed,Does not apply,Not recorded,,6,0
121314,815,2108,8152108,Barrowcliff School,,Ash Grove,,,Scarborough,YO12 6NQ,01723351767,1,,,0,Maintained School,Community school,,1,0,0,3,11,Mixed,Mixed,Does not apply,Not recorded,,6,0
121316,815,2112,8152112,"Scarborough, Braeburn Primary and Nursery School",Braeburn Primary and Nursery Academy,Braeburn,Eastfield,,Scarborough,YO11 3LG,01723582616,2,,20180930,0,Maintained School,Community school,Academy sponsor led mainstream,1,0,0,3,11,Mixed,Mixed,Does not apply,Not recorded,146312,4,0
121317,815,2114,8152114,Friarage Community Primary School,Friarage Community Primary School,Longwestgate,,,Scarborough,YO11 1QB,01723374244,2,,20190831,0,Maintained School,Community school,Academy sponsor led mainstream,1,0,0,3,11,Mixed,Mixed,Does not apply,Not recorded,147448,4,0
121319,815,2117,8152117,Gladstone Road Primary School,,Wooler Street,,,Scarborough,YO12 7DD,01723372566,1,,,0,Maintained School,Community school,,1,0,0,4,11,Mixed,Mixed,Does not apply,Not recorded,,6,0
121321,815,2120,8152120,"Scarborough, Northstead Community Primary School",,Maple Drive,,,Scarborough,YO12 6LP,01723362249,1,,,0,Maintained School,Community school,,1,0,0,4,11,Mixed,Mixed,Does not apply,Not recorded,,6,0
121322,815,2132,8152132,Slingsby Community Primary School,,The Green,Slingsby,,York,YO62 4AA,01653628370,1,,,0,Maintained School,Community school,,1,0,0,4,11,Mixed,Mixed,Does not apply,Not recorded,,6,0
121323,815,2133,8152133,Snape Community Primary School,,Ings Lane,,Snape,Bedale,DL8 2TF,01677470380,1,,,0,Maintained School,Community school,,1,0,0,3,11,Mixed,Mixed,Does not apply,Not recorded,,6,0
121324,815,2138,8152138,Stillington Primary School,,Main Street,Stillington,,York,YO61 1LA,01347810347,1,,,0,Maintained School,Community school,,1,0,0,4,11,Mixed,Mixed,Does not apply,Not recorded,,6,0
121326,815,2150,8152150,Alanbrooke School,,Alanbrooke Barracks,Topcliffe,,Thirsk,YO7 3SF,01845577474,1,,,0,Maintained School,Community school,,1,0,0,4,11,Mixed,Mixed,Does not apply,Not recorded,,6,0
121327,815,2151,8152151,Welburn Community Primary School,,Welburn,,,York,YO60 7DX,01653618301,1,,,0,Maintained School,Community school,,1,0,0,4,11,Mixed,Mixed,Does not apply,Not recorded,,6,0
121330,815,2163,8152163,Mill Hill Community Primary School,,Crosby Road,,,Northallerton,DL6 1AE,01609772382,1,,,0,Maintained School,Community school,,1,0,0,4,11,Mixed,Mixed,Does not apply,Not recorded,,6,0
121331,815,2164,8152164,Easingwold Community Primary School,,Thirsk Road,Easingwold,,York,YO61 3HJ,01347821282,1,,,0,Maintained School,Community school,,1,0,0,4,11,Mixed,Mixed,Does not apply,Not recorded,,6,0
121332,815,2165,8152165,Dishforth Airfield Community Primary School,,Short Road,Dishforth Airfield,,Thirsk,YO7 3DL,01423322556,1,,,0,Maintained School,Community school,,1,0,0,3,11,Mixed,Mixed,Does not apply,Not recorded,,6,0
121333,815,2166,8152166,Leeming RAF Community Primary School,,Gatenby,,,Northallerton,DL7 9NQ,01677422675,1,,,0,Maintained School,Community school,,1,0,0,4,11,Mixed,Mixed,Does not apply,Not recorded,,6,0
121334,815,2167,8152167,Colburn Community Primary School,,Colburn Lane,Colburn,,Catterick Garrison,DL9 4LS,01748832676,1,,,0,Maintained School,Community school,,1,0,0,4,11,Mixed,Mixed,Does not apply,Not recorded,,6,0
121336,815,2170,8152170,"Scarborough, Overdale Community Primary School",,Hawthorn Walk,Eastfield,,Scarborough,YO11 3HW,01723582360,1,,,0,Maintained School,Community school,,1,0,0,3,11,Mixed,Mixed,Does not apply,Not recorded,,6,0
121337,815,2171,8152171,Linton-on-Ouse Primary School,,Linton Woods Lane,Linton-on-Ouse,,York,YO30 2BD,01347848234,1,,,0,Maintained School,Community school,,1,0,0,3,11,Mixed,Mixed,Does not apply,Not recorded,,6,0
121338,815,2173,8152173,"Catterick Garrison, Le Cateau Community Primary School",,Brough Road,,,Catterick Garrison,DL9 4ED,01748832292,1,,,0,Maintained School,Community school,,1,0,0,3,11,Mixed,Mixed,Does not apply,Not recorded,,6,0
121342,815,2186,8152186,Sheriff Hutton Primary School,,West End,Sheriff Hutton,,York,YO60 6SH,01347878441,1,,,0,Maintained School,Community school,,1,0,0,4,11,Mixed,Mixed,Does not apply,Not recorded,,6,0
121343,815,2188,8152188,Wavell Community Junior School,,Wavell Road,,,Catterick Garrison,DL9 3BJ,01748832298,1,,,0,Maintained School,Community school,,1,0,0,7,11,Mixed,Mixed,Does not apply,Not recorded,,6,0
121344,815,2189,8152189,"Catterick Garrison, Wavell Community Infant School",,Wavell Road,,,Catterick Garrison,DL9 3BJ,01748833340,1,,,0,Maintained School,Community school,,1,0,0,3,7,Mixed,Mixed,Does not apply,Not recorded,,6,0
121349,815,2206,8152206,Wheatcroft Community Primary School,,Holbeck Hill,,,Scarborough,YO11 3BW,01723375704,1,,,0,Maintained School,Community school,,1,0,0,4,11,Mixed,Mixed,Does not apply,Not recorded,,6,0
121350,815,2212,8152212,"Catterick Garrison, Carnagill Community Primary School",,Leadmill Estate,,,Catterick Garrison,DL9 3HN,01748833622,3,,,0,Maintained School,Community school,,1,0,0,3,11,Mixed,Mixed,Does not apply,Not recorded,,6,0
