Variable,Label,Type,Description
RECTYPE,Record type,INTEGER,Record type (1=mainstream school; 2=special school; 4=Local Authority; 5=National (all schools); 7=National (maintained schools))
LEA,Local authority number,INTEGER,
ESTAB,Establishment number,INTEGER,
URN,School Unique Reference Number,INTEGER,
ICLOSE,Closed school flag,INTEGER,Closed school flag (0=open; 1=closed)
SCHNAME,School name,TEXT,
NFTYPE,School type,TEXT,"School type (AC=Sponsored academy, ACC=Academy converter – mainstream, AC1619=Academy 16-19 sponsor led, ACC1619=Academy 16-19 converter, ACCS=Academy converter - special school, ACS=Sponsored special academy, CTC=City technology college, CY=Community school, CYS=Community special school, F=Free school – mainstream, FESI=Further Education Sector Institution, FD=Foundation school, FDS=Foundation special school, FS=Free school – special, FSS=Studio school, FUTC=UTC (university technical college), F1619=Free school - 16-19, IND=Independent school, INDSPEC=Independent special school, MODFC=College funded by Ministry of Defence, NMSS=Non-maintained special school, VA=Voluntary aided school, VC=Voluntary controlled school)"
COHORT,Number of pupils completing key stage 4 in 2016/17,INTEGER,
OVERALL_DEST,Pupils staying in education or employment for at least two terms after key stage 4 (number of pupils),INTEGER,"Pupils who have been in any sustained education, apprenticeship or employment for at least 2 terms after key stage 4 "
APPREN,Apprenticeships (number of pupils),INTEGER,Pupils who started an apprenticeship at any point in the year and continued it for at least 6 months
EMPLOYMENT,Pupils staying in employment for at least two terms after key stage 4 (number of pupils),INTEGER,Pupils who did not stay in education or apprenticeships for 2 full terms but were in employment for at least 2 terms. Pupils with a combination of education and employment making up 2 terms are also included
EDUCATION,Pupils staying in education for at least two terms after key stage 4 (number of pupils),INTEGER,Pupils who were in education throughout the first 2 terms
FE,Further education (number of pupils),INTEGER,Pupils in sustained education at a further education sector college or other FE provider. Includes pupils studying further education in a higher education institution. School sixth forms and sixth-form colleges are shown separately.
SCH_6TH,School sixth form (number of pupils),INTEGER,Pupils in sustained education at a state-funded school sixth form.
SIXTH_COL,Sixth form college (number of pupils),INTEGER,Pupils in sustained education at a sixth form college.
OTHER_EDU,Other education destination (number of pupils),INTEGER,"Pupils in other sustained education destinations. Includes pupils in higher education institutions, special schools, special post-16 institutions, alternative provision or pupil referral units, independent schools or colleges, or pupils only meeting the October to March participation criteria through a combination of more than one type of education provider."
NOT_SUSTAINED,Pupils not staying in education or employment for at least two terms after key stage 4 (number of pupils),INTEGER,Pupils not staying in education or employment. Pupils either had some education or employment participation in the destination year but it was not sustained from October to March or the pupils had no participation at all and were known to be NEET at some time in the destination year.
UNKNOWN,Activity not captured (number of pupils),INTEGER,"Pupils with no activity captured in data. Pupils were not found in an education or employment destination. Possible reasons for this could be that the pupil was living, working or studying abroad; attending a Scottish, Welsh or Northern Irish school or college; undertaking activity other than paid employment or study in the UK; or was not successfully matched to a record in our data sources."
OVERALL_DESTPER,Pupils staying in education or employment for at least two terms after key stage 4 (percentage),PCT,"Pupils who have been in any sustained education, apprenticeship or employment for at least 2 terms after key stage 4 "
APPRENPER,Apprenticeships (percentage),PCT,Pupils who started an apprenticeship at any point in the year and continued it for at least 6 months
EMPLOYMENTPER,Pupils staying in employment for at least two terms after key stage 4 (percentage),PCT,Pupils who did not stay in education or apprenticeships for 2 full terms but were in employment for at least 2 terms. Pupils with a combination of education and employment making up 2 terms are also included
EDUCATIONPER,Pupils staying in education for at least two terms after key stage 4 (percentage),PCT,Pupils who were in education throughout the first 2 terms
FEPER,Further education (percentage),PCT,Pupils in sustained education at a further education sector college or other FE provider. Includes pupils studying further education in a higher education institution. School sixth forms and sixth-form colleges are shown separately.
SCH_6THPER,School sixth form (percentage),PCT,Pupils in sustained education at a state-funded school sixth form.
SIXTH_COLPER,Sixth form college (percentage),PCT,Pupils in sustained education at a sixth form college.
OTHER_EDUPER,Other education destination (percentage),PCT,"Pupils in other sustained education destinations. Includes pupils in higher education institutions, special schools, special post-16 institutions, alternative provision or pupil referral units, independent schools or colleges, or pupils only meeting the October to March participation criteria through a combination of more than one type of education provider."
NOT_SUSTAINEDPER,Pupils not staying in education or employment for at least two terms after key stage 4 (percentage),PCT,Pupils not staying in education or employment. Pupils either had some education or employment participation in the destination year but it was not sustained from October to March or the pupils had no participation at all and were known to be NEET at some time in the destination year.
UNKNOWNPER,Activity not captured (percentage),PCT,"Pupils with no activity captured in data. Pupils were not found in an education or employment destination. Possible reasons for this could be that the pupil was living, working or studying abroad; attending a Scottish, Welsh or Northern Irish school or college; undertaking activity other than paid employment or study in the UK; or was not successfully matched to a record in our data sources."
COHORT_DIS,Number of disadvantaged pupils completing key stage 4 in 2016/17,INTEGER,Disadvantaged pupils are those who were eligible for free school meals at any point in the previous six years or were looked after continuously for at least 6 months. These are the pupils who would have attracted the pupil premium at the end of the 2016/17 academic year.
OVERALL_DEST_DIS,Disadvantaged pupils staying in education or employment for at least two terms after key stage 4 (number of pupils),INTEGER,"Pupils who have been in any sustained education, apprenticeship or employment for at least 2 terms after key stage 4 "
APPREN_DIS,Apprenticeships (number of pupils),INTEGER,Pupils who started an apprenticeship at any point in the year and continued it for at least 6 months
EMPLOYMENT_DIS,Pupils staying in employment for at least two terms after key stage 4 (number of pupils),INTEGER,Pupils who did not stay in education or apprenticeships for 2 full terms but were in employment for at least 2 terms. Pupils with a combination of education and employment making up 2 terms are also included
EDUCATION_DIS,Pupils staying in education for at least two terms after key stage 4 (number of pupils),INTEGER,Pupils who were in education throughout the first 2 terms
FE_DIS,Further education (number of pupils),INTEGER,Pupils in sustained education at a further education sector college or other FE provider. Includes pupils studying further education in a higher education institution. School sixth forms and sixth-form colleges are shown separately.
SCH_6TH_DIS,School sixth form (number of pupils),INTEGER,Pupils in sustained education at a state-funded school sixth form.
SIXTH_COL_DIS,Sixth form college (number of pupils),INTEGER,Pupils in sustained education at a sixth form college.
OTHER_EDU_DIS,Other education destination (number of pupils),INTEGER,"Pupils in other sustained education destinations. Includes pupils in higher education institutions, special schools, special post-16 institutions, alternative provision or pupil referral units, independent schools or colleges, or pupils only meeting the October to March participation criteria through a combination of more than one type of education provider."
NOT_SUSTAINED_DIS,Pupils not staying in education or employment for at least two terms after key stage 4 (number of pupils),INTEGER,Pupils not staying in education or employment. Pupils either had some education or employment participation in the destination year but it was not sustained from October to March or the pupils had no participation at all and were known to be NEET at some time in the destination year.
UNKNOWN_DIS,Activity not captured (number of pupils),INTEGER,"Pupils with no activity captured in data. Pupils were not found in an education or employment destination. Possible reasons for this could be that the pupil was living, working or studying abroad; attending a Scottish, Welsh or Northern Irish school or college; undertaking activity other than paid employment or study in the UK; or was not successfully matched to a record in our data sources."
OVERALL_DESTPER_DIS,Pupils staying in education or employment for at least two terms after key stage 4 (percentage),PCT,"Pupils who have been in any sustained education, apprenticeship or employment for at least 2 terms after key stage 4 "
APPRENPER_DIS,Apprenticeships (percentage),PCT,Pupils who started an apprenticeship at any point in the year and continued it for at least 6 months
EMPLOYMENTPER_DIS,Pupils staying in employment for at least two terms after key stage 4 (percentage),PCT,Pupils who did not stay in education or apprenticeships for 2 full terms but were in employment for at least 2 terms. Pupils with a combination of education and employment making up 2 terms are also included
EDUCATIONPER_DIS,Pupils staying in education for at least two terms after key stage 4 (percentage),PCT,Pupils who were in education throughout the first 2 terms
FEPER_DIS,Further education (percentage),PCT,Pupils in sustained education at a further education sector college or other FE provider. Includes pupils studying further education in a higher education institution. School sixth forms and sixth-form colleges are shown separately.
SCH_6THPER_DIS,School sixth form (percentage),PCT,Pupils in sustained education at a state-funded school sixth form.
SIXTH_COLPER_DIS,Sixth form college (percentage),PCT,Pupils in sustained education at a sixth form college.
OTHER_EDUPER_DIS,Other education destination (percentage),PCT,"Pupils in other sustained education destinations. Includes pupils in higher education institutions, special schools, special post-16 institutions, alternative provision or pupil referral units, independent schools or colleges, or pupils only meeting the October to March participation criteria through a combination of more than one type of education provider."
NOT_SUSTAINEDPER_DIS,Pupils not staying in education or employment for at least two terms after key stage 4 (percentage),PCT,Pupils not staying in education or employment. Pupils either had some education or employment participation in the destination year but it was not sustained from October to March or the pupils had no participation at all and were known to be NEET at some time in the destination year.
UNKNOWNPER_DIS,Activity not captured (percentage),PCT,"Pupils with no activity captured in data. Pupils were not found in an education or employment destination. Possible reasons for this could be that the pupil was living, working or studying abroad; attending a Scottish, Welsh or Northern Irish school or college; undertaking activity other than paid employment or study in the UK; or was not successfully matched to a record in our data sources."
COHORT_NONDIS,Number of pupils not identified as disadvantaged (not found to be eligible for pupil premium in year 11) completing key stage 4 in 2016/17,INTEGER,
OVERALL_DEST_NONDIS,Pupils not identified as disadvantaged (not found to be eligible for pupil premium in year 11) staying in education or employment for at least two terms after key stage 4 (number of pupils),INTEGER,"Pupils who have been in any sustained education, apprenticeship or employment for at least 2 terms after key stage 4 "
APPREN_NONDIS,Apprenticeships (number of pupils),INTEGER,Pupils who started an apprenticeship at any point in the year and continued it for at least 6 months
EMPLOYMENT_NONDIS,Pupils staying in employment for at least two terms after key stage 4 (number of pupils),INTEGER,Pupils who did not stay in education or apprenticeships for 2 full terms but were in employment for at least 2 terms. Pupils with a combination of education and employment making up 2 terms are also included
EDUCATION_NONDIS,Pupils staying in education for at least two terms after key stage 4 (number of pupils),INTEGER,Pupils who were in education throughout the first 2 terms
FE_NONDIS,Further education (number of pupils),INTEGER,Pupils in sustained education at a further education sector college or other FE provider. Includes pupils studying further education in a higher education institution. School sixth forms and sixth-form colleges are shown separately.
SCH_6TH_NONDIS,School sixth form (number of pupils),INTEGER,Pupils in sustained education at a state-funded school sixth form.
SIXTH_COL_NONDIS,Sixth form college (number of pupils),INTEGER,Pupils in sustained education at a sixth form college.
OTHER_EDU_NONDIS,Other education destination (number of pupils),INTEGER,"Pupils in other sustained education destinations. Includes pupils in higher education institutions, special schools, special post-16 institutions, alternative provision or pupil referral units, independent schools or colleges, or pupils only meeting the October to March participation criteria through a combination of more than one type of education provider."
NOT_SUSTAINED_NONDIS,Pupils not staying in education or employment for at least two terms after key stage 4 (number of pupils),INTEGER,Pupils not staying in education or employment. Pupils either had some education or employment participation in the destination year but it was not sustained from October to March or the pupils had no participation at all and were known to be NEET at some time in the destination year.
UNKNOWN_NONDIS,Activity not captured (number of pupils),INTEGER,"Pupils with no activity captured in data. Pupils were not found in an education or employment destination. Possible reasons for this could be that the pupil was living, working or studying abroad; attending a Scottish, Welsh or Northern Irish school or college; undertaking activity other than paid employment or study in the UK; or was not successfully matched to a record in our data sources."
OVERALL_DESTPER_NONDIS,Pupils staying in education or employment for at least two terms after key stage 4 (percentage),PCT,"Pupils who have been in any sustained education, apprenticeship or employment for at least 2 terms after key stage 4 "
APPRENPER_NONDIS,Apprenticeships (percentage),PCT,Pupils who started an apprenticeship at any point in the year and continued it for at least 6 months
EMPLOYMENTPER_NONDIS,Pupils staying in employment for at least two terms after key stage 4 (percentage),PCT,Pupils who did not stay in education or apprenticeships for 2 full terms but were in employment for at least 2 terms. Pupils with a combination of education and employment making up 2 terms are also included
EDUCATIONPER_NONDIS,Pupils staying in education for at least two terms after key stage 4 (percentage),PCT,Pupils who were in education throughout the first 2 terms
FEPER_NONDIS,Further education (percentage),PCT,Pupils in sustained education at a further education sector college or other FE provider. Includes pupils studying further education in a higher education institution. School sixth forms and sixth-form colleges are shown separately.
SCH_6THPER_NONDIS,School sixth form (percentage),PCT,Pupils in sustained education at a state-funded school sixth form.
SIXTH_COLPER_NONDIS,Sixth form college (percentage),PCT,Pupils in sustained education at a sixth form college.
